Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed
26,2023-10-01T18:22:23Z,Run,5317.7,2116,2116,0,"[40.721897492185235, -74.03605646453798]","[40.708297519013286, -74.03827909380198]",Run,2023-10-01T22:22:23Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.513,4.234
27,2023-09-28T17:54:23Z,Run,5426.8,2160,2248,6.1,"[40.721764722839, -74.03636693023145]","[40.7103674300015, -74.0466342587024]",Run,2023-09-28T21:54:23Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.512,5.666
28,2023-09-26T18:13:37Z,Run,2948.4,1092,1092,4.4,"[40.72182674892247, -74.03614858165383]","[40.71518844924867, -74.03781750239432]",Run,2023-09-26T22:13:37Z,(GMT-05:00) America/New_York,0,2,0,1,0,2.7,5.305
29,2023-09-20T18:22:55Z,Run,3181.3,1259,1259,2.1,"[40.721857426688075, -74.03598454780877]","[40.71402152068913, -74.04116640798748]",Run,2023-09-20T22:22:55Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.527,8.114
30,2023-09-12T19:33:27Z,Run,2976,1118,1121,3.9,"[40.72199530899525, -74.03647480532527]","[40.71304905228317, -74.03463455848396]",Run,2023-09-12T23:33:27Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.662,6.034
31,2023-09-10T19:01:35Z,Run,22895.4,10264,10523,7,"[40.721847703680396, -74.0359463263303]","[40.72113364934921, -74.03714192099869]",Run,2023-09-10T23:01:35Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.231,10.566
32,2023-09-07T19:41:00Z,Run,424.6,182,217,0,"[40.72236486710608, -74.03617104515433]","[40.720487739890814, -74.03362110257149]",Run,2023-09-07T23:41:00Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.333,8.234
33,2023-09-05T19:19:51Z,Run,5043.5,1883,1883,7.3,"[40.721935546025634, -74.03594146482646]","[40.71996772661805, -74.03265240602195]",Run,2023-09-05T23:19:51Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.678,6.132
34,2023-09-03T06:40:50Z,Run,16190.2,6891,7121,0,"[40.72184359654784, -74.0359206777066]","[40.709861582145095, -74.04221246950328]",Run,2023-09-03T10:40:50Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.349,4.817
35,2023-08-31T18:51:40Z,Run,1611.9,566,573,0,"[40.721826581284404, -74.03603333048522]","[40.71246827021241, -74.03785429894924]",Run,2023-08-31T22:51:40Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.848,4.794
36,2023-08-18T17:45:19Z,Run,3010.3,1014,1017,0,"[40.721926828846335, -74.03582654893398]","[40.714762061834335, -74.0331197809428]",Run,2023-08-18T21:45:19Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.969,9.524
37,2023-08-17T18:38:25Z,Run,5044.5,1778,1778,0,"[40.721895480528474, -74.03602595441043]","[40.71330185048282, -74.03451402671635]",Run,2023-08-17T22:38:25Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.837,5.556
38,2023-08-06T07:28:11Z,Run,21334,10059,10507,2.2,"[40.72190646082163, -74.03603693470359]","[40.722934920340776, -74.04062158428133]",Run,2023-08-06T11:28:11Z,(GMT-05:00) America/New_York,11,1,0,1,0,2.121,13.091
39,2023-08-02T18:36:39Z,Run,5049.4,1929,1929,0,"[40.72178584523499, -74.03596669435501]","[40.721156867221, -74.03356385417283]",Run,2023-08-02T22:36:39Z,(GMT-05:00) America/New_York,2,2,0,1,0,2.618,4.05
40,2023-07-31T19:10:00Z,Run,5311.5,1997,2013,2.4,"[40.72181845083833, -74.03608228079975]","[40.71837415918708, -74.03278735466301]",Run,2023-07-31T23:10:00Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.66,5.012
41,2023-07-27T12:00:00Z,Run,3130,1200,1200,0,[],[],Run,2023-07-27T12:00:00Z,(GMT+00:00) GMT,0,2,0,1,0,2.608,0
42,2023-07-25T19:33:05Z,Run,5076.4,1860,1860,0,"[40.721832029521465, -74.03665015473962]","[40.719554582610726, -74.0325685031712]",Run,2023-07-25T23:33:05Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.729,5.142
43,2023-07-23T07:16:58Z,Run,14991.3,6601,6627,3.1,"[40.72189036756754, -74.03612712398171]","[40.720317335799336, -74.03152839280665]",Run,2023-07-23T11:16:58Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.271,4.601
44,2023-07-17T18:17:37Z,Run,6990.6,2810,2821,3,"[40.72198818437755, -74.03618571348488]","[40.72198952548206, -74.03616073541343]",Run,2023-07-17T22:17:37Z,(GMT-05:00) America/New_York,1,2,0,1,0,2.488,5.262
45,2023-07-14T18:17:07Z,Run,3294.3,1310,1313,2.6,"[40.72190864011645, -74.03602737933397]","[40.72122048586607, -74.03173232451081]",Run,2023-07-14T22:17:07Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.515,4.956
46,2023-07-13T18:54:20Z,Run,5436.7,2074,2090,0,"[40.72229839861393, -74.03602763079107]","[40.719090308994055, -74.03258543461561]",Run,2023-07-13T22:54:20Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.621,8.796
47,2023-07-12T09:11:57Z,Run,7523.6,3118,3462,3.1,"[40.72183320298791, -74.03605244122446]","[40.710172299295664, -74.04491471126676]",Run,2023-07-12T13:11:57Z,(GMT-05:00) America/New_York,5,2,0,1,0,2.413,8.062
48,2023-07-09T17:20:57Z,Run,7531.1,3293,4352,5,"[40.72186555713415, -74.0360240265727]","[40.72163974866271, -74.03653406538069]",Run,2023-07-09T21:20:57Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.287,5.102
49,2023-07-07T18:17:30Z,Run,5474.7,2077,2253,11.6,"[40.72197401896119, -74.03587675653398]","[40.72187913581729, -74.03609468601644]",Run,2023-07-07T22:17:30Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.636,6.186
50,2023-07-05T17:34:26Z,Run,2981.8,938,1018,0,"[40.721904281526804, -74.03602821752429]","[40.713261533528566, -74.03400180861354]",Run,2023-07-05T21:34:26Z,(GMT-05:00) America/New_York,5,2,0,1,0,3.179,7.2
51,2023-06-29T18:35:40Z,Run,3080,2358,3471,2.1,"[40.71632637642324, -74.03278291225433]","[40.714248921722174, -74.03329705819488]",Run,2023-06-29T22:35:40Z,(GMT-05:00) America/New_York,0,2,0,1,0,1.306,3.335
52,2023-06-25T19:18:27Z,Run,11824.4,4586,4953,3.2,"[40.721878465265036, -74.03610549867153]","[40.71934469975531, -74.03229005634785]",Run,2023-06-25T23:18:27Z,(GMT-05:00) America/New_York,10,2,0,1,0,2.578,6.318
53,2023-06-23T18:39:04Z,Run,2222.6,811,951,2.9,"[40.7218683231622, -74.03607456944883]","[40.71680288761854, -74.03274393640459]",Run,2023-06-23T22:39:04Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.741,5.238
54,2023-06-18T08:39:23Z,Run,10513.1,4087,4101,2.4,"[40.72195532731712, -74.03633784502745]","[40.72191081941128, -74.03198914602399]",Run,2023-06-18T12:39:23Z,(GMT-05:00) America/New_York,16,2,0,1,0,2.572,4.868
55,2023-06-11T14:01:45Z,Run,5341.4,1932,2354,0,"[40.721850050613284, -74.0360930096358]","[40.70920720696449, -74.03737527318299]",Run,2023-06-11T18:01:45Z,(GMT-05:00) America/New_York,5,1,0,1,0,2.765,4.512
56,2023-05-28T07:02:45Z,Run,7115.1,2831,3017,89.2,"[39.27250214852393, -76.69633372686803]","[39.271901501342654, -76.70297462493181]",Run,2023-05-28T11:02:45Z,(GMT-05:00) America/New_York,9,1,0,1,0,2.513,4.33
57,2023-05-14T17:10:38Z,Run,3374.6,1350,1490,38.5,"[39.25259227864444, -76.71357312239707]","[39.25045447424054, -76.71255019493401]",Run,2023-05-14T21:10:38Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.5,3.356
58,2023-05-14T07:56:01Z,Run,2406.8,982,33260,17,"[39.27248865365982, -76.69630547985435]","[39.25530759617686, -76.70086339116096]",Run,2023-05-14T11:56:01Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.451,3.346
59,2023-05-12T21:50:00Z,Run,5149.9,1880,1880,0,[],[],Run,2023-05-12T21:50:00Z,(GMT+00:00) GMT,0,1,0,1,0,2.739,0
60,2023-05-07T17:55:57Z,Run,10113.4,4197,4795,79.7,"[39.25256973132491, -76.71357261948287]","[39.25136969424784, -76.71324941329658]",Run,2023-05-07T21:55:57Z,(GMT-05:00) America/New_York,4,1,0,1,0,2.41,3.988
61,2023-04-26T17:24:37Z,Run,2342.1,884,2042,39,"[39.272519163787365, -76.69635074213147]","[39.26936681382358, -76.69188595376909]",Run,2023-04-26T21:24:37Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.649,3.948
62,2023-04-22T08:39:51Z,Run,2520.5,1124,2292,0,"[38.904664758592844, -77.0702749863267]","[38.90445336699486, -77.0703595597297]",Run,2023-04-22T12:39:51Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.242,4.308
63,2023-04-16T09:10:51Z,Run,5230.5,1824,3695,22.4,"[39.251450411975384, -76.71325913630426]","[39.251307249069214, -76.71117966994643]",Run,2023-04-16T13:10:51Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.868,4.07
64,2023-04-09T09:15:51Z,Run,4604.7,2257,3496,20.8,"[39.25106266513467, -76.71200201846659]","[39.25259596668184, -76.70932936482131]",Run,2023-04-09T13:15:51Z,(GMT-05:00) America/New_York,4,0,0,2,0,2.04,6.336
65,2023-03-19T09:29:19Z,Run,22201.9,9200,9241,157.8,"[40.66512359306216, -73.96134344860911]","[40.772895673289895, -73.97658250294626]",Run,2023-03-19T13:29:19Z,(GMT-05:00) America/New_York,7,0,0,1,0,2.413,7.514
66,2023-03-05T07:07:47Z,Run,21479,9617,10154,100.9,"[39.27251446992159, -76.69635736383498]","[39.251645458862185, -76.7130200844258]",Run,2023-03-05T12:07:47Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.233,3.304
67,2023-03-02T06:38:12Z,Run,12240.6,5376,5386,147,"[39.272493766620755, -76.6963579505682]","[39.254609970375896, -76.70630416832864]",Run,2023-03-02T11:38:12Z,(GMT-05:00) America/New_York,2,0,0,1,0,2.277,3.882
68,2023-02-19T16:51:04Z,Run,6241,4411,4453,60.9,"[39.27249485626817, -76.69633900746703]","[39.25268799997866, -76.71309367753565]",Run,2023-02-19T21:51:04Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.415,7.522
69,2023-02-12T07:06:05Z,Run,10207.3,4815,4937,96.2,"[39.27247985266149, -76.69631981290877]","[39.25345100462437, -76.70696390792727]",Run,2023-02-12T12:06:05Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.12,4.023
