id,name,sport_type,start_date,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heart_rate,max_heart_rate,kudos_count,comment_count,visibility,achievement_count
17896903100,Evening Run,Run,2026-03-29T07:19:22Z,6527.1,3897,4086,102.0,1.675,3.753,,,0,0,everyone,0
17873476306,Afternoon Run,Run,2026-03-27T05:15:19Z,4804.3,2819,3171,53.4,1.704,3.72,,,1,1,everyone,0
