country,fulltitle,country_OEL,continent,continent_OEL,panel#,continuityruns,continuityrunamount,continuitylength,continuityaveragelength,continuitymaxlength,continuityproportion,continuityruns%,continuityrunamount%,continuitylength%,continuityaveragelength%,continuitymaxlength%,continuityproportion%
USA,Shackleton Antarctic Odyssey,USA,USA,USA,142,7,6,13,2.166666667,3,9.154929577,0.049295775,0.042253521,0.091549296,0.015258216,0.021126761,0.064471335
USA,Star Wars Empire,USA,USA,USA,192,20,13,33,2.538461538,4,17.1875,0.104166667,0.067708333,0.171875,0.013221154,0.020833333,0.089518229
USA,Street Fighter Classic,OEL manga,USA,OEL manga,152,67,24,91,3.791666667,12,59.86842105,0.440789474,0.157894737,0.598684211,0.024945175,0.078947368,0.393871191
USA,Sumo,USA,USA,USA,119,25,13,38,2.923076923,6,31.93277311,0.210084034,0.109243697,0.319327731,0.024563672,0.050420168,0.268342631
USA,Superman Batman Absolute Power - Absolute Power,USA,USA,USA,142,37,15,52,3.466666667,10,36.61971831,0.26056338,0.105633803,0.366197183,0.024413146,0.070422535,0.25788534
USA,The Agents,OEL manga,USA,OEL manga,254,47,37,84,2.27027027,4,33.07086614,0.18503937,0.145669291,0.330708661,0.008938072,0.015748031,0.13020026
USA,The Avengers - The Wrath of the Weathermen,USA,USA,USA,111,21,12,33,2.75,5,29.72972973,0.189189189,0.108108108,0.297297297,0.024774775,0.045045045,0.267835403
USA,The Blue Beetle - The MadMen,USA,USA,USA,125,38,25,63,2.52,8,50.4,0.304,0.2,0.504,0.02016,0.064,0.4032
USA,The Flame - Dr. Ivan's Insurance Bombing Racket.,USA,USA,USA,292,78,43,121,2.813953488,8,41.43835616,0.267123288,0.147260274,0.414383562,0.009636827,0.02739726,0.141912179
USA,The Flash - Flashing Wheels,USA,USA,USA,71,19,12,31,2.583333333,6,43.66197183,0.267605634,0.169014085,0.436619718,0.036384977,0.084507042,0.61495735
USA,The Incredible Hulk - Best Intentions,USA,USA,USA,110,26,16,42,2.625,4,38.18181818,0.236363636,0.145454545,0.381818182,0.023863636,0.036363636,0.347107438
USA,The Invincible Iron Man - Ten Rings to Rule the World,USA,USA,USA,87,29,18,47,2.611111111,5,54.02298851,0.333333333,0.206896552,0.540229885,0.030012771,0.057471264,0.620953891
USA,The Punisher - Blackout,USA,USA,USA,297,93,50,143,2.86,7,48.14814815,0.313131313,0.168350168,0.481481481,0.00962963,0.023569024,0.162114977
USA,The Punisher - Do Not Fall in New York City,USA,USA,USA,160,24,12,36,3,5,22.5,0.15,0.075,0.225,0.01875,0.03125,0.140625
USA,The Story of Roberto Clemente,USA,USA,USA,141,21,11,32,2.909090909,7,22.69503546,0.14893617,0.078014184,0.226950355,0.02063185,0.04964539,0.160957698
USA,Tokyo Knights,OEL manga,USA,OEL manga,152,36,17,53,3.117647059,8,34.86842105,0.236842105,0.111842105,0.348684211,0.020510836,0.052631579,0.229397507
USA,Twilight X,OEL manga,USA,OEL manga,160,45,28,73,2.607142857,6,45.625,0.28125,0.175,0.45625,0.016294643,0.0375,0.28515625
USA,Uncanny X-men,USA,USA,USA,300,46,30,76,2.533333333,4,25.33333333,0.153333333,0.1,0.253333333,0.008444444,0.013333333,0.084444444
USA,Venom: Funeral Pyre - High Tension,USA,USA,USA,95,24,19,43,2.263157895,4,45.26315789,0.252631579,0.2,0.452631579,0.023822715,0.042105263,0.476454294
USA,Wolverine - Not dead yet part,USA,USA,USA,156,70,34,104,3.058823529,6,66.66666667,0.448717949,0.217948718,0.666666667,0.019607843,0.038461538,0.427350427
USA,Wonder Woman - His Name is Psycho,USA,USA,USA,136,33,16,49,3.0625,10,36.02941176,0.242647059,0.117647059,0.360294118,0.022518382,0.073529412,0.264922145
USA,Wonder Woman - The Huntress,USA,USA,USA,106,48,24,72,3,5,67.9245283,0.452830189,0.226415094,0.679245283,0.028301887,0.047169811,0.640797437
