country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
Belgium/Flanders,Suske en Wiske - Op het eiland Amoras,Belgium/Flanders,Europe,Europe,Character,152,49,26,75,2.884615385,7,49.34210526,0.171052632,0.493421053,0.018977733,0.046052632
Belgium/Flanders,Suske en Wiske - Rikki en Wiske,Belgium/Flanders,Europe,Europe,Character,152,62,30,92,3.066666667,8,60.52631579,0.197368421,0.605263158,0.020175439,0.052631579
Belgium/Flanders,Thomas Pips - De rode Heks,Belgium/Flanders,Europe,Europe,Character,308,107,44,151,3.431818182,18,49.02597403,0.142857143,0.49025974,0.011142267,0.058441558
Belgium/Flanders,W817 - Een keivet akke-fietje,Belgium/Flanders,Europe,Europe,Character,152,51,23,74,3.217391304,12,48.68421053,0.151315789,0.486842105,0.021167048,0.078947368
Belgium/Flanders,Waterland - Onweer,Belgium/Flanders,Europe,Europe,Character,137,27,18,45,2.5,4,32.84671533,0.131386861,0.328467153,0.018248175,0.02919708
Belgium/Flanders,Weer over naar jou,Belgium/Flanders,Europe,Europe,Character,154,72,23,95,4.130434783,12,61.68831169,0.149350649,0.616883117,0.026821005,0.077922078
Belgium/Flanders,Willeke - De draak van Kokoluput,Belgium/Flanders,Europe,Europe,Character,304,81,55,136,2.472727273,4,44.73684211,0.180921053,0.447368421,0.008133971,0.013157895
China,1/2 Prince,China,Asia,Asia,Character,100,22,14,36,2.571428571,5,36,0.14,0.36,0.025714286,0.05
China,Divine Melody,China,Asia,Asia,Character,95,19,16,35,2.1875,5,36.84210526,0.168421053,0.368421053,0.023026316,0.052631579
China,Heaven Sword and Dragon Sabre  - The King of Gold Lion-Zhune Shai,China,Asia,Asia,Character,161,40,26,66,2.538461538,5,40.99378882,0.161490683,0.409937888,0.015766842,0.031055901
China,Mega Dragon & Tiger Future Kung Fu Action,China,Asia,Asia,Character,153,50,29,79,2.724137931,7,51.63398693,0.189542484,0.516339869,0.017804823,0.045751634
China,Saint Legend,China,Asia,Asia,Character,314,111,64,175,2.734375,9,55.73248408,0.203821656,0.557324841,0.008708201,0.02866242
China,SNK vs. Capcom: SVC Chaos,China,Asia,Asia,Character,150,40,29,69,2.379310345,4,46,0.193333333,0.46,0.015862069,0.026666667
China,Storm Riders,China,Asia,Asia,Character,295,94,54,148,2.740740741,10,50.16949153,0.183050847,0.501694915,0.009290647,0.033898305
China,SVC Chaos: SNK vs Capcom,China,Asia,Asia,Character,88,20,15,35,2.333333333,3,39.77272727,0.170454545,0.397727273,0.026515152,0.034090909
China,The King of Fighters,China,Asia,Asia,Character,158,41,29,70,2.413793103,5,44.30379747,0.183544304,0.443037975,0.015277172,0.03164557
China,The King of Fighters: 2003,China,Asia,Asia,Character,164,48,34,82,2.411764706,5,50,0.207317073,0.5,0.014705882,0.030487805
China,Tiger x Crane Record of the Demon Master,China,Asia,Asia,Character,121,27,17,44,2.588235294,5,36.36363636,0.140495868,0.363636364,0.021390374,0.041322314
China,Xiewang Lin Jie,China,Asia,Asia,Character,341,107,53,160,3.018867925,8,46.92082111,0.15542522,0.469208211,0.008852985,0.023460411
China,Yin Zhi Shoumuren (Silver Gravekeeper),China,Asia,Asia,Character,72,13,6,19,3.166666667,4,26.38888889,0.083333333,0.263888889,0.043981481,0.055555556
France,Ab.lard - Une br.ve histoire de poussi.re et de cendre,France,Europe,Europe,Character,91,37,19,56,2.947368421,6,61.53846154,0.208791209,0.615384615,0.032388664,0.065934066
France,Alter Ego,France,Europe,Europe,Character,156,52,24,76,3.166666667,12,48.71794872,0.153846154,0.487179487,0.020299145,0.076923077
France,Catman - Une aventure de Cliff Burton,France,Europe,Europe,Character,310,113,62,175,2.822580645,6,56.4516129,0.2,0.564516129,0.009105099,0.019354839
France,Child of the Storm,France,Europe,Europe,Character,202,32,22,54,2.454545455,5,26.73267327,0.108910891,0.267326733,0.012151215,0.024752475
France,Donjon - La Fin du Donjon,France,Europe,Europe,Character,544,203,98,301,3.071428571,13,55.33088235,0.180147059,0.553308824,0.005646008,0.023897059
France,Final Incal,France,Europe,Europe,Character,410,96,62,158,2.548387097,5,38.53658537,0.151219512,0.385365854,0.006215578,0.012195122
France,La Vie En Rose - La Derni.re Pluie,France,Europe,Europe,Character,151,51,22,73,3.318181818,8,48.34437086,0.145695364,0.483443709,0.021974714,0.052980132
France,La Voyageuse de Petite Ceinture,France,Europe,Europe,Character,306,179,42,221,5.261904762,19,72.22222222,0.137254902,0.722222222,0.017195767,0.062091503
France,Le Cahier . Fleurs - Mauvaise Orchestration,France,Europe,Europe,Character,306,47,38,85,2.236842105,4,27.77777778,0.124183007,0.277777778,0.007309942,0.013071895
France,Le Muret,France,Europe,Europe,Character,146,92,20,112,5.6,14,76.71232877,0.136986301,0.767123288,0.038356164,0.095890411
France,Le Soldat,France,Europe,Europe,Character,368,105,48,153,3.1875,8,41.57608696,0.130434783,0.41576087,0.008661685,0.02173913
France,LoRaNnE - Frisco,France,Europe,Europe,Character,318,86,39,125,3.205128205,11,39.3081761,0.122641509,0.393081761,0.01007902,0.034591195
France,Marsupilami: Sur la piste du Marsupilami,France,Europe,Europe,Character,529,194,76,270,3.552631579,15,51.03969754,0.143667297,0.510396975,0.00671575,0.028355388
France,Metabarons Genesis: Castaka,France,Europe,Europe,Character,297,42,29,71,2.448275862,6,23.90572391,0.097643098,0.239057239,0.008243353,0.02020202
