country;fulltitle;country_OEL;continent;continent_OEL;panel#;charruns;charrunamount;charlength;charaveragelength;charmaxlength;charproportion;locationruns;locrunamount;loclength;locaveragelength;locmaxlength;locproportion;timeruns;timerunamount;timelength;timeaveragelength;timemaxlength;timeproportion;continuityruns;continuityrunamount;continuitylength;continuityaveragelength;continuitymaxlength;continuityproportion;discontinuity;discontinuityrunamount;discontinuitylength;discontinuitylength;discontinuitymaxlength;discontinuityproportion
Belgium/Flanders;Jommeke - Het piepend bed;Belgium/Flanders;Europe;Europe;154;37;27;64;2.37037037;6;41.55844156;133;19;152;8;30;98.7012987;151;3;36;12;26;23.37662338;34;26;60;2.307692308;4;38.96103896;1;1;2;2;2;1.298701299
Belgium/Flanders;K3 - De hoed van Ya Ya Yippee;Belgium/Flanders;Europe;Europe;154;54;24;78;3.25;20;50.64935065;138;13;151;11.61538462;42;98.05194805;151;3;61;20.33333333;57;39.61038961;49;23;72;3.130434783;17;46.75324675;0;0;0;0;0;0
Belgium/Flanders;Kari Lente & Co;Belgium/Flanders;Europe;Europe;150;47;26;73;2.807692308;10;48.66666667;113;19;132;6.947368421;23;88;144;4;64;16;53;42.66666667;42;23;65;2.826086957;10;43.33333333;4;3;7;2.333333333;3;4.666666667
Belgium/Flanders;Meesterwerken in Beeld - Robinson Crusoë;Belgium/Flanders;Europe;Europe;91;51;17;68;4;17;74.72527473;60;17;77;4.529411765;12;84.61538462;90;1;91;91;0;100;41;19;60;3.157894737;7;65.93406593;0;0;0;0;0;0
Belgium/Flanders;Otto - Op hete kolen;Belgium/Flanders;Europe;Europe;150;111;25;136;5.44;22;90.66666667;121;26;147;5.653846154;18;98;146;4;150;37.75;53;100;95;33;128;3.878787879;9;85.33333333;2;2;4;2;2;2.666666667
Belgium/Flanders;Piet Pienter en Bert Bibber - Invasie uit het heelal;Belgium/Flanders;Europe;Europe;160;42;27;69;2.555555556;8;43.125;101;27;128;4.740740741;35;80;138;14;153;10.92857143;66;95.625;35;24;59;2.458333333;5;36.875;21;14;35;2.5;4;21.875
Belgium/Flanders;Samson & Gert - De Vliegsiroop;Belgium/Flanders;Europe;Europe;153;66;27;93;3.444444444;17;60.78431373;110;24;134;5.583333333;17;87.58169935;145;7;153;21.85714286;72;100;59;27;86;3.185185185;17;56.20915033;7;6;13;2.166666667;3;8.496732026
Belgium/Flanders;Sloeber - Het Komplot;Belgium/Flanders;Europe;Europe;314;171;61;232;3.803278689;8;73.88535032;256;42;298;7.095238095;23;94.9044586;293;19;314;16.52631579;66;100;147;62;209;3.370967742;8;66.56050955;6;6;12;2;2;3.821656051
Belgium/Flanders;Suske en Wiske - De Poenschepper;Belgium/Flanders;Europe;Europe;161;58;34;92;2.705882353;8;57.14285714;122;27;149;5.518518519;22;92.54658385;146;13;159;12.23076923;49;98.75776398;52;33;85;2.575757576;5;52.79503106;11;10;21;2.1;3;13.04347826
Belgium/Flanders;Suske en Wiske - De snorrende snor;Belgium/Flanders;Europe;Europe;158;50;29;79;2.724137931;7;50;120;23;143;6.217391304;16;90.50632911;152;6;158;26.5;53;100;46;29;75;2.586206897;5;47.46835443;2;2;4;2;2;2.53164557
Belgium/Flanders;Suske en Wiske - De sprietatoom;Belgium/Flanders;Europe;Europe;156;66;35;101;2.885714286;8;64.74358974;127;19;146;7.684210526;18;93.58974359;153;3;46;15.33333333;25;29.48717949;59;35;94;2.685714286;6;60.25641026;1;1;2;2;2;1.282051282
